                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 4.5888,                 2.3217,                 2.1211,                0.23373,                0.27916,                0.26388,                0.12519,                 4.1319,                 2.3781,                 2.2167,              0.0008515,              0.0008515,              0.0008515
                     18,                 4.6919,                 2.2336,                 2.0525,                0.54383,                0.30833,                0.31059,                0.14277,                 4.3521,                 2.2838,                 2.2393,              0.0008317,              0.0008317,              0.0008317
                     17,                 4.9481,                 2.2721,                 2.0861,                0.39673,                0.34403,                0.25914,                0.12344,                 4.1903,                 2.6743,                 2.1729,              0.0008416,              0.0008416,              0.0008416
                     19,                 4.6955,                 2.2157,                 2.0513,                0.53347,                0.28435,                0.31139,                0.14564,                 4.0689,                 2.2183,                 2.1754,              0.0008218,              0.0008218,              0.0008218
                     18,                 4.6919,                 2.2336,                 2.0525,                0.54383,                0.30833,                0.31059,                0.14277,                 4.3521,                 2.2838,                 2.2393,              0.0008317,              0.0008317,              0.0008317
                     20,                 4.6647,                 2.2288,                 2.0423,                0.62279,                 0.2751,                0.30465,                0.15829,                 3.9511,                 2.3291,                 2.1138,              0.0008119,              0.0008119,              0.0008119
                     19,                 4.6955,                 2.2157,                 2.0513,                0.53347,                0.28435,                0.31139,                0.14564,                 4.0689,                 2.2183,                 2.1754,              0.0008218,              0.0008218,              0.0008218
                     21,                 4.5496,                 2.1791,                 2.0031,                 0.4473,                0.29024,                0.31687,                0.15596,                 3.9193,                 2.3056,                 2.0829,               0.000802,               0.000802,               0.000802
                     20,                 4.6647,                 2.2288,                 2.0423,                0.62279,                 0.2751,                0.30465,                0.15829,                 3.9511,                 2.3291,                 2.1138,              0.0008119,              0.0008119,              0.0008119
                     22,                 4.3544,                 2.1426,                 1.9922,                0.45838,                0.31169,                0.34786,                0.17553,                 3.9933,                 2.2056,                 2.0943,              0.0007921,              0.0007921,              0.0007921
                     21,                 4.5496,                 2.1791,                 2.0031,                 0.4473,                0.29024,                0.31687,                0.15596,                 3.9193,                 2.3056,                 2.0829,               0.000802,               0.000802,               0.000802
                     23,                 4.1895,                 2.0934,                 1.9605,                0.61596,                0.29395,                0.33129,                0.16633,                 3.7909,                 2.2699,                 2.0422,              0.0007822,              0.0007822,              0.0007822
                     22,                 4.3544,                 2.1426,                 1.9922,                0.45838,                0.31169,                0.34786,                0.17553,                 3.9933,                 2.2056,                 2.0943,              0.0007921,              0.0007921,              0.0007921
                     24,                 4.2904,                 2.0831,                  1.951,                0.54051,                0.36393,                0.33543,                0.17473,                 3.6506,                 2.1168,                 2.0776,              0.0007723,              0.0007723,              0.0007723
                     23,                 4.1895,                 2.0934,                 1.9605,                0.61596,                0.29395,                0.33129,                0.16633,                 3.7909,                 2.2699,                 2.0422,              0.0007822,              0.0007822,              0.0007822
                     25,                 4.1775,                  2.018,                 1.9444,                0.30871,                0.36284,                0.33254,                0.17463,                 3.6617,                 2.2759,                 2.0471,              0.0007624,              0.0007624,              0.0007624
                     24,                 4.2904,                 2.0831,                  1.951,                0.54051,                0.36393,                0.33543,                0.17473,                 3.6506,                 2.1168,                 2.0776,              0.0007723,              0.0007723,              0.0007723
                     26,                 4.2278,                 2.0539,                  1.945,                0.29324,                 0.3613,                0.31073,                0.16716,                 3.5588,                 2.1815,                 1.9919,              0.0007525,              0.0007525,              0.0007525
                     25,                 4.1775,                  2.018,                 1.9444,                0.30871,                0.36284,                0.33254,                0.17463,                 3.6617,                 2.2759,                 2.0471,              0.0007624,              0.0007624,              0.0007624
                     27,                 3.9924,                 1.9868,                 1.8999,                0.66377,                 0.3359,                0.37655,                0.19048,                 3.8329,                 2.0916,                 2.0606,              0.0007426,              0.0007426,              0.0007426
                     26,                 4.2278,                 2.0539,                  1.945,                0.29324,                 0.3613,                0.31073,                0.16716,                 3.5588,                 2.1815,                 1.9919,              0.0007525,              0.0007525,              0.0007525
                     28,                  3.815,                 1.9818,                 1.8913,                0.49383,                0.37923,                 0.3899,                0.20491,                 3.5724,                  2.244,                 2.0281,              0.0007327,              0.0007327,              0.0007327
                     27,                 3.9924,                 1.9868,                 1.8999,                0.66377,                 0.3359,                0.37655,                0.19048,                 3.8329,                 2.0916,                 2.0606,              0.0007426,              0.0007426,              0.0007426
                     29,                 3.8848,                 1.9708,                 1.8886,                0.38488,                0.36715,                0.39535,                0.21308,                 3.2642,                 2.0518,                 1.9589,              0.0007228,              0.0007228,              0.0007228
                     28,                  3.815,                 1.9818,                 1.8913,                0.49383,                0.37923,                 0.3899,                0.20491,                 3.5724,                  2.244,                 2.0281,              0.0007327,              0.0007327,              0.0007327
                     30,                 3.9398,                 1.9902,                 1.9441,                0.41029,                0.40887,                0.39516,                0.21381,                 3.3632,                 1.9751,                 1.9858,              0.0007129,              0.0007129,              0.0007129
                     29,                 3.8848,                 1.9708,                 1.8886,                0.38488,                0.36715,                0.39535,                0.21308,                 3.2642,                 2.0518,                 1.9589,              0.0007228,              0.0007228,              0.0007228
                     31,                 3.7833,                 1.9861,                 1.8989,                0.48161,                0.37204,                0.34788,                0.17373,                 3.3617,                 2.1255,                 1.9734,               0.000703,               0.000703,               0.000703
                     30,                 3.9398,                 1.9902,                 1.9441,                0.41029,                0.40887,                0.39516,                0.21381,                 3.3632,                 1.9751,                 1.9858,              0.0007129,              0.0007129,              0.0007129
                     32,                 3.8316,                 1.9255,                 1.8716,                0.49301,                 0.4441,                0.45256,                0.22886,                 3.2815,                 1.8915,                 1.9803,              0.0006931,              0.0006931,              0.0006931
                     31,                 3.7833,                 1.9861,                 1.8989,                0.48161,                0.37204,                0.34788,                0.17373,                 3.3617,                 2.1255,                 1.9734,               0.000703,               0.000703,               0.000703
                     33,                  3.643,                 1.8678,                 1.8187,                0.47176,                0.42475,                0.46214,                0.24302,                  3.385,                 1.9506,                 1.9902,              0.0006832,              0.0006832,              0.0006832
                     32,                 3.8316,                 1.9255,                 1.8716,                0.49301,                 0.4441,                0.45256,                0.22886,                 3.2815,                 1.8915,                 1.9803,              0.0006931,              0.0006931,              0.0006931
                     34,                 3.6705,                 1.8369,                 1.8213,                0.61562,                0.43181,                0.46563,                0.24484,                 3.0173,                 1.8147,                  1.929,              0.0006733,              0.0006733,              0.0006733
                     33,                  3.643,                 1.8678,                 1.8187,                0.47176,                0.42475,                0.46214,                0.24302,                  3.385,                 1.9506,                 1.9902,              0.0006832,              0.0006832,              0.0006832
                     35,                 3.6474,                 1.8891,                 1.8474,                0.58061,                0.47241,                0.46116,                0.22971,                 3.0945,                 1.8669,                 1.9304,              0.0006634,              0.0006634,              0.0006634
                     34,                 3.6705,                 1.8369,                 1.8213,                0.61562,                0.43181,                0.46563,                0.24484,                 3.0173,                 1.8147,                  1.929,              0.0006733,              0.0006733,              0.0006733
                     36,                  3.618,                 1.8525,                 1.8545,                0.64789,                0.38048,                0.43173,                0.23518,                 3.2022,                 2.0079,                 1.9351,              0.0006535,              0.0006535,              0.0006535
                     35,                 3.6474,                 1.8891,                 1.8474,                0.58061,                0.47241,                0.46116,                0.22971,                 3.0945,                 1.8669,                 1.9304,              0.0006634,              0.0006634,              0.0006634
                     37,                 3.4295,                 1.8048,                 1.8269,                0.47255,                0.46868,                0.47156,                0.24635,                 2.9678,                 1.9326,                 1.8852,              0.0006436,              0.0006436,              0.0006436
